MMSI,start_timestamp,start_lat,start_lon,pred_lat_1h,pred_lon_1h,rf_pred_lat_1h,rf_pred_lon_1h,dead_reckoning_pred_lat_1h,dead_reckoning_pred_lon_1h,rf_weight_1h,prediction_method_1h,pred_lat_2h,pred_lon_2h,rf_pred_lat_2h,rf_pred_lon_2h,dead_reckoning_pred_lat_2h,dead_reckoning_pred_lon_2h,rf_weight_2h,prediction_method_2h,pred_lat_3h,pred_lon_3h,rf_pred_lat_3h,rf_pred_lon_3h,dead_reckoning_pred_lat_3h,dead_reckoning_pred_lon_3h,rf_weight_3h,prediction_method_3h,mean_error_km,generated_at
249857000,2026-01-02 01:00:00,57.113808,7.6720667,57.01072870573336,7.466498863093878,56.922588759390365,7.644742628977778,57.0205220331048,7.446694000217889,0.1,rf_dead_reckoning_blend,56.86351588392759,7.4375821277813206,56.82942189374952,7.553421502834119,56.926833294258294,7.222451859826123,0.65,rf_dead_reckoning_blend,56.76339542203732,7.413103829891737,56.75115721955372,7.4861217888490845,56.83274523611107,6.999335395800102,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
249960000,2026-01-03 17:00:00,55.22416,4.679197,55.13324585189982,4.771007436900553,55.46765938538679,4.740439428645297,55.0960887926235,4.7744038822622485,0.1,rf_dead_reckoning_blend,55.298262404664555,4.786185948449856,55.476126258118995,4.74159241700075,54.96794381967776,4.869002506855338,0.65,rf_dead_reckoning_blend,55.39084077141202,4.781622356704993,55.4880963370138,4.7496146646066375,54.839725899668615,4.9629992785956745,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250002821,2026-01-10 23:00:00,57.55733,8.456877,57.66780796182587,8.652192465744818,57.494969796970395,8.581154516767647,57.687012202365366,8.660085571186727,0.1,rf_dead_reckoning_blend,57.66120273190086,8.830911612391283,57.57765302362661,8.812689927453384,57.81636647583874,8.864751884418808,0.65,rf_dead_reckoning_blend,57.70480199637939,9.052885612446794,57.6623455001073,9.049708365017223,57.945388808587865,9.0708900145477,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250003788,2026-01-02 04:00:00,55.580154,6.972831,55.62965165247542,6.899191866394677,55.73143792993466,6.989934213461259,55.61834206609106,6.889109383387279,0.1,rf_dead_reckoning_blend,55.76263840267069,6.951832351998805,55.81980438491822,7.03077497306153,55.656473007068115,6.80522462716803,0.65,rf_dead_reckoning_blend,55.88272847591885,7.028144591033243,55.91593703699713,7.082315443813445,55.694546629808656,6.72117642527877,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250004214,2026-01-10 23:00:00,54.95888,13.761853,55.010100309731506,13.992785747404676,55.05890382957985,14.032871263122027,55.00467769641502,13.98833180121386,0.1,rf_dead_reckoning_blend,55.09173135050035,14.230630560815197,55.11417308657617,14.238871494599513,55.05005384064526,14.215325969501464,0.65,rf_dead_reckoning_blend,55.1824278499997,14.422723646985858,55.197855100460956,14.419174981607455,55.09500676405255,14.44283275079681,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250004612,2026-01-06 03:00:00,57.099705,7.559223,56.9645525902443,7.409784572383122,56.87459907050864,7.615798858827562,56.97454742577049,7.386894096111519,0.1,rf_dead_reckoning_blend,56.787146428511996,7.390581394481945,56.753757416699536,7.484737210656014,56.849154593306565,7.215720593015817,0.65,rf_dead_reckoning_blend,56.6614998103003,7.327164011925363,56.65055344863244,7.376835647567527,56.72352919308484,7.045691409953093,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250005692,2026-01-10 23:00:00,54.553867,11.330997,54.637493890763615,11.032206761628979,54.612086211328595,11.04239092470531,54.64031696625639,11.031075187953832,0.1,rf_dead_reckoning_blend,54.67169672665377,10.765938580449086,54.64244421353055,10.785354349177995,54.72602282245402,10.729880724238257,0.65,rf_dead_reckoning_blend,54.688101662125234,10.590232679769876,54.666417417828164,10.618965160531541,54.81097904647532,10.427415288787103,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250013654,2026-01-07 04:00:00,54.639416,13.657153,54.499733297871195,13.84788109106061,54.668830734844036,13.912103217877023,54.4809446937631,13.840745299192122,0.1,rf_dead_reckoning_blend,54.49819896961266,14.0899858448294,54.592969069088895,14.126098720686937,54.32219735629966,14.02291907537969,0.65,rf_dead_reckoning_blend,54.48621219733259,14.30661993343387,54.54321828250738,14.324783851750336,54.16317771467547,14.203691062973888,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250013999,2026-01-07 16:00:00,58.49427,9.70929,58.59149765470512,9.877751495669726,58.1178556061458,9.837981942304916,58.64412454898949,9.882170334932482,0.1,rf_dead_reckoning_blend,58.35516841368876,9.966474880740599,58.11901162438286,9.91797828548619,58.79374530811401,10.056539986213068,0.65,rf_dead_reckoning_blend,58.232256330332824,10.009396000779944,58.10680823559301,9.970039124217775,58.94312886719176,10.232418301298907,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
250370000,2026-01-04 20:00:00,55.686695,6.9179583,55.71545665408566,6.9894940620955275,55.7731047838905,6.983078537169845,55.70905130632957,6.99020689819838,0.1,rf_dead_reckoning_blend,55.82399032447911,7.050576402683521,55.873865414094794,7.0441354642958585,55.73136515804997,7.062538145403465,0.65,rf_dead_reckoning_blend,55.94962698528422,7.127118541074388,55.98421354662158,7.125736157532107,55.75363647103915,7.134952047813982,0.8500000000000001,rf_dead_reckoning_blend,3.1091375624759188,2026-04-27T12:49:49.579948+00:00
